day,hour,value
2022-09-04,22,1.7763586
2022-09-04,23,1.8006026
2022-09-04,23,1.8006026
2022-09-05,0,1.8137633
2022-09-05,0,1.8137633
2022-09-05,1,1.8034322
2022-09-05,1,1.8034322
2022-09-05,2,1.7461485
2022-09-05,2,1.7461485
2022-09-05,3,1.7476959
2022-09-05,3,1.7476959
2022-09-05,4,1.8205186
2022-09-05,4,1.8205186
2022-09-05,5,1.8434452
2022-09-05,5,1.8434452
2022-09-05,6,1.8010834
2022-09-05,6,1.8010834
2022-09-05,7,1.6896838
2022-09-05,7,1.6896838
2022-09-05,8,1.5048417
2022-09-05,8,1.5048417
2022-09-05,9,1.2923788
2022-09-05,9,1.2923788
2022-09-05,10,1.1884426
2022-09-05,10,1.1884426
2022-09-05,11,1.1903938
2022-09-05,11,1.1903938
2022-09-05,12,1.185734
2022-09-05,12,1.185734
2022-09-05,13,1.1928535
2022-09-05,13,1.1928535
2022-09-05,14,1.2823595
2022-09-05,14,1.2823595
2022-09-05,15,1.4553683
2022-09-05,15,1.4553683
2022-09-05,16,1.6606843
2022-09-05,16,1.6606843
2022-09-05,17,1.8484923
2022-09-05,17,1.8484923
2022-09-05,18,1.9756017
2022-09-05,18,1.9756017
2022-09-05,19,1.9871614
2022-09-05,19,1.9871614
2022-09-05,20,1.9040617
2022-09-05,20,1.9040617
2022-09-05,21,1.7592089
2022-09-05,21,1.7592089
2022-09-05,22,1.5908239
2022-09-05,22,1.5908239
2022-09-05,23,1.4916883
2022-09-05,23,1.4916883
2022-09-06,0,1.219677
2022-09-06,0,1.219677
2022-09-06,1,0.9763441
2022-09-06,1,0.9763441
2022-09-06,2,0.86699003
2022-09-06,2,0.86699003
2022-09-06,3,0.8786991
2022-09-06,3,0.8786991
2022-09-06,4,0.9383083
2022-09-06,4,0.9383083
2022-09-06,5,0.95114625
2022-09-06,5,0.95114625
2022-09-06,6,0.9235805
2022-09-06,6,0.9235805
2022-09-06,7,0.88529384
2022-09-06,7,0.88529384
2022-09-06,8,0.80421257
2022-09-06,8,0.80421257
2022-09-06,9,0.6258204
2022-09-06,9,0.6258204
2022-09-06,10,0.44640097
2022-09-06,10,0.44640097
2022-09-06,11,0.26312906
2022-09-06,11,0.26312906
2022-09-06,12,0.060140718
2022-09-06,12,0.060140718
2022-09-06,13,-0.14049159
2022-09-06,13,-0.14049159
2022-09-06,14,-0.2961174
2022-09-06,14,-0.2961174
2022-09-06,15,-0.33991066
2022-09-06,15,-0.33991066
2022-09-06,16,-0.32284495
2022-09-06,16,-0.32284495
2022-09-06,17,-0.32376677
2022-09-06,17,-0.32376677
2022-09-06,18,-0.35740215
2022-09-06,18,-0.35740215
2022-09-06,19,-0.41359288
2022-09-06,19,-0.41359288
2022-09-06,20,-0.4684246
2022-09-06,20,-0.4684246
2022-09-06,21,-0.49146333
2022-09-06,21,-0.49146333
2022-09-06,22,-0.51242006
2022-09-06,22,-0.51242006
2022-09-06,23,-0.7056044
2022-09-06,23,-0.7056044
2022-09-07,0,-0.8973549
2022-09-07,0,-0.8973549
2022-09-07,1,-0.97204924
2022-09-07,1,-0.97204924
2022-09-07,2,-1.0251828
2022-09-07,2,-1.0251828
2022-09-07,3,-1.1161678
2022-09-07,3,-1.1161678
2022-09-07,4,-1.1965894
2022-09-07,4,-1.1965894
2022-09-07,5,-1.2732425
2022-09-07,5,-1.2732425
2022-09-07,6,-1.3472179
2022-09-07,6,-1.3472179
2022-09-07,7,-1.3855253
2022-09-07,7,-1.3855253
2022-09-07,8,-1.391363
2022-09-07,8,-1.391363
2022-09-07,9,-1.3691529
2022-09-07,9,-1.3691529
2022-09-07,10,-1.3741585
2022-09-07,10,-1.3741585
2022-09-07,11,-1.4549516
2022-09-07,11,-1.4549516
2022-09-07,12,-1.5023882
2022-09-07,12,-1.5023882
2022-09-07,13,-1.5004357
2022-09-07,13,-1.5004357
2022-09-07,14,-1.4200777
2022-09-07,14,-1.4200777
2022-09-07,15,-1.30812
2022-09-07,15,-1.30812
2022-09-07,16,-1.1875631
