day,hour,value
2022-09-05,3,300.15137
2022-09-05,4,300.32803
2022-09-05,4,300.32803
2022-09-05,5,300.39304
2022-09-05,5,300.39304
2022-09-05,6,300.35962
2022-09-05,6,300.35962
2022-09-05,7,300.22488
2022-09-05,7,300.22488
2022-09-05,8,299.9895
2022-09-05,8,299.9895
2022-09-05,9,299.69333
2022-09-05,9,299.69333
2022-09-05,10,299.4314
2022-09-05,10,299.4314
2022-09-05,11,299.27377
2022-09-05,11,299.27377
2022-09-05,12,299.15442
2022-09-05,12,299.15442
2022-09-05,13,299.06128
2022-09-05,13,299.06128
2022-09-05,14,298.97363
2022-09-05,14,298.97363
2022-09-05,15,298.8575
2022-09-05,15,298.8575
2022-09-05,16,298.71664
2022-09-05,16,298.71664
2022-09-05,17,298.59497
2022-09-05,17,298.59497
2022-09-05,18,298.50027
2022-09-05,18,298.50027
2022-09-05,19,298.42825
2022-09-05,19,298.42825
2022-09-05,20,298.38797
2022-09-05,20,298.38797
2022-09-05,21,298.35797
2022-09-05,21,298.35797
2022-09-05,22,298.36008
2022-09-05,22,298.36008
2022-09-05,23,298.48074
2022-09-05,23,298.48074
2022-09-06,0,298.91855
2022-09-06,0,298.91855
2022-09-06,1,299.5003
2022-09-06,1,299.5003
2022-09-06,2,299.89066
2022-09-06,2,299.89066
2022-09-06,3,300.16812
2022-09-06,3,300.16812
2022-09-06,4,300.34543
2022-09-06,4,300.34543
2022-09-06,5,300.42502
2022-09-06,5,300.42502
2022-09-06,6,300.3965
2022-09-06,6,300.3965
2022-09-06,7,300.25293
2022-09-06,7,300.25293
2022-09-06,8,300.00958
2022-09-06,8,300.00958
2022-09-06,9,299.72845
2022-09-06,9,299.72845
2022-09-06,10,299.44165
2022-09-06,10,299.44165
2022-09-06,11,299.256
2022-09-06,11,299.256
2022-09-06,12,299.13254
2022-09-06,12,299.13254
2022-09-06,13,299.052
2022-09-06,13,299.052
2022-09-06,14,298.9828
2022-09-06,14,298.9828
2022-09-06,15,298.89667
2022-09-06,15,298.89667
2022-09-06,16,298.77768
2022-09-06,16,298.77768
2022-09-06,17,298.6615
2022-09-06,17,298.6615
2022-09-06,18,298.56055
2022-09-06,18,298.56055
2022-09-06,19,298.48535
2022-09-06,19,298.48535
2022-09-06,20,298.43292
2022-09-06,20,298.43292
2022-09-06,21,298.39917
2022-09-06,21,298.39917
2022-09-06,22,298.38254
2022-09-06,22,298.38254
2022-09-06,23,298.52658
2022-09-06,23,298.52658
2022-09-07,0,299.20273
2022-09-07,0,299.20273
2022-09-07,1,299.85007
2022-09-07,1,299.85007
2022-09-07,2,300.4056
2022-09-07,2,300.4056
2022-09-07,3,300.90668
2022-09-07,3,300.90668
2022-09-07,4,301.30136
2022-09-07,4,301.30136
2022-09-07,5,301.5259
2022-09-07,5,301.5259
2022-09-07,6,301.58243
2022-09-07,6,301.58243
2022-09-07,7,301.50168
2022-09-07,7,301.50168
2022-09-07,8,301.27985
2022-09-07,8,301.27985
2022-09-07,9,300.95255
2022-09-07,9,300.95255
2022-09-07,10,300.62198
2022-09-07,10,300.62198
2022-09-07,11,300.38052
2022-09-07,11,300.38052
2022-09-07,12,300.2083
2022-09-07,12,300.2083
2022-09-07,13,300.089
2022-09-07,13,300.089
2022-09-07,14,299.9779
2022-09-07,14,299.9779
2022-09-07,15,299.84842
2022-09-07,15,299.84842
2022-09-07,16,299.65063
2022-09-07,16,299.65063
2022-09-07,17,299.46805
2022-09-07,17,299.46805
2022-09-07,18,299.3103
2022-09-07,18,299.3103
2022-09-07,19,299.18893
2022-09-07,19,299.18893
2022-09-07,20,299.09668
2022-09-07,20,299.09668
2022-09-07,21,299.02505
2022-09-07,21,299.02505
2022-09-07,22,298.9917
2022-09-07,22,298.9917
2022-09-07,23,299.14645
2022-09-07,23,299.14645
2022-09-08,0,299.7642
2022-09-08,0,299.7642
2022-09-08,1,300.33948
2022-09-08,1,300.33948
2022-09-08,2,300.80078
2022-09-08,2,300.80078
2022-09-08,3,301.15665
2022-09-08,3,301.15665
2022-09-08,4,301.40363
2022-09-08,4,301.40363
2022-09-08,5,301.53546
2022-09-08,5,301.53546
2022-09-08,6,301.51282
2022-09-08,6,301.51282
2022-09-08,7,301.33826
2022-09-08,7,301.33826
2022-09-08,8,301.05673
2022-09-08,8,301.05673
2022-09-08,9,300.72055
2022-09-08,9,300.72055
2022-09-08,10,300.38547
2022-09-08,10,300.38547
2022-09-08,11,300.14938
2022-09-08,11,300.14938
2022-09-08,12,299.97745
2022-09-08,12,299.97745
2022-09-08,13,299.85547
2022-09-08,13,299.85547
2022-09-08,14,299.74167
2022-09-08,14,299.74167
2022-09-08,15,299.6099
2022-09-08,15,299.6099
2022-09-08,16,299.4262
2022-09-08,16,299.4262
2022-09-08,17,299.25638
2022-09-08,17,299.25638
2022-09-08,18,299.11514
2022-09-08,18,299.11514
2022-09-08,19,299.00766
2022-09-08,19,299.00766
2022-09-08,20,298.93298
2022-09-08,20,298.93298
2022-09-08,21,298.88724
2022-09-08,21,298.88724
2022-09-08,22,298.86026
2022-09-08,22,298.86026
2022-09-08,23,298.95453
2022-09-08,23,298.95453
2022-09-09,0,299.4445
2022-09-09,0,299.4445
2022-09-09,1,299.9731
2022-09-09,1,299.9731
2022-09-09,2,300.39285
2022-09-09,2,300.39285
2022-09-09,3,300.73657
2022-09-09,3,300.73657
2022-09-09,4,300.9986
2022-09-09,4,300.9986
2022-09-09,5,301.13312
2022-09-09,5,301.13312
2022-09-09,6,301.12103
2022-09-09,6,301.12103
2022-09-09,7,300.95123
2022-09-09,7,300.95123
2022-09-09,8,300.62885
2022-09-09,8,300.62885
2022-09-09,9,300.2304
2022-09-09,9,300.2304
2022-09-09,10,299.84332
2022-09-09,10,299.84332
2022-09-09,11,299.58655
